0.000745,1000
0.003532,2000
0.006676,3000
0.012638,4000
0.020362,5000
0.031259,6000
0.042243,7000
0.057926,8000
0.076461,9000
0.083979,10000
0.115124,11000
0.120485,12000
0.142122,13000
0.176646,14000
0.187938,15000
0.223967,16000
0.260816,17000
0.30429,18000
0.346403,19000
0.409179,20000
0.443941,21000
0.475214,22000
0.516018,23000
0.561971,24000
0.59834,25000
0.674019,26000
0.711057,27000
0.812263,28000
0.80877,29000
0.90527,30000
0.917912,31000
1.05177,32000
1.0201,33000
1.11288,34000
1.10158,35000
1.23074,36000
1.17135,37000
1.35699,38000
1.34231,39000
1.53459,40000
1.46412,41000
1.66418,42000
1.59222,43000
1.83558,44000
1.70168,45000
1.93309,46000
2.01904,47000
2.11977,48000
2.0628,49000
2.33928,50000
