0.000351,1000
0.001647,2000
0.003197,3000
0.006009,4000
0.00935,5000
0.014539,6000
0.021725,7000
0.025261,8000
0.038356,9000
0.049623,10000
0.064285,11000
0.070358,12000
0.06344,13000
0.083755,14000
0.095059,15000
0.107649,16000
0.112277,17000
0.130775,18000
0.15726,19000
0.20468,20000
0.216026,21000
0.200159,22000
0.246334,23000
0.242924,24000
0.295517,25000
0.334486,26000
0.341306,27000
0.341668,28000
0.477182,29000
0.373684,30000
0.41323,31000
0.424167,32000
0.452678,33000
0.659798,34000
0.514844,35000
0.582684,36000
0.559196,37000
0.622991,38000
0.598148,39000
0.620223,40000
0.682894,41000
0.710007,42000
0.789901,43000
0.851096,44000
0.901985,45000
0.857541,46000
0.971437,47000
1.05539,48000
1.10703,49000
1.03252,50000
